2025-06-11 15:25:34 - Face detected at X:270, Y:143, W:205, H:205
2025-06-11 15:25:34 - Face detected at X:270, Y:144, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:270, Y:143, W:206, H:206
2025-06-11 15:25:34 - Face detected at X:269, Y:142, W:207, H:207
2025-06-11 15:25:35 - Face detected at X:269, Y:142, W:206, H:206
2025-06-11 15:25:35 - Face detected at X:271, Y:145, W:205, H:205
2025-06-11 15:25:35 - Face detected at X:268, Y:143, W:208, H:208
2025-06-11 15:25:35 - Face detected at X:270, Y:145, W:205, H:205
2025-06-11 15:25:35 - Face detected at X:269, Y:145, W:206, H:206
2025-06-11 15:25:35 - Face detected at X:268, Y:144, W:207, H:207
2025-06-11 15:25:35 - Face detected at X:269, Y:144, W:205, H:205
2025-06-11 15:25:35 - Face detected at X:271, Y:144, W:203, H:203
2025-06-11 15:25:35 - Face detected at X:271, Y:145, W:205, H:205
2025-06-11 15:25:35 - Face detected at X:268, Y:144, W:209, H:209
2025-06-11 15:25:35 - Face detected at X:268, Y:144, W:207, H:207
2025-06-11 15:25:35 - Face detected at X:270, Y:144, W:207, H:207
2025-06-11 15:25:35 - Face detected at X:272, Y:144, W:204, H:204
2025-06-11 15:25:35 - Face detected at X:272, Y:146, W:202, H:202
2025-06-11 15:25:35 - Face detected at X:272, Y:146, W:202, H:202
2025-06-11 15:25:35 - Face detected at X:270, Y:144, W:207, H:207
2025-06-11 15:25:35 - Face detected at X:271, Y:145, W:203, H:203
2025-06-11 15:25:35 - Face detected at X:268, Y:144, W:209, H:209
2025-06-11 15:25:35 - Face detected at X:270, Y:143, W:206, H:206
2025-06-11 15:25:35 - Face detected at X:269, Y:143, W:209, H:209
2025-06-11 15:25:35 - Face detected at X:271, Y:144, W:204, H:204
2025-06-11 15:25:35 - Face detected at X:269, Y:144, W:206, H:206
2025-06-11 15:25:35 - Face detected at X:269, Y:143, W:207, H:207
2025-06-11 15:25:35 - Face detected at X:270, Y:144, W:203, H:203
2025-06-11 15:25:36 - Face detected at X:270, Y:144, W:205, H:205
2025-06-11 15:25:36 - Face detected at X:270, Y:145, W:204, H:204
2025-06-11 15:25:36 - Face detected at X:270, Y:146, W:204, H:204
2025-06-11 15:25:36 - Face detected at X:268, Y:144, W:206, H:206
2025-06-11 15:25:36 - Face detected at X:267, Y:143, W:209, H:209
2025-06-11 15:25:36 - Face detected at X:266, Y:141, W:212, H:212
2025-06-11 15:25:36 - Face detected at X:267, Y:141, W:210, H:210
2025-06-11 15:25:36 - Face detected at X:267, Y:142, W:207, H:207
2025-06-11 15:25:36 - Face detected at X:264, Y:139, W:214, H:214
2025-06-11 15:25:36 - Face detected at X:266, Y:141, W:212, H:212
2025-06-11 15:25:36 - Face detected at X:266, Y:141, W:213, H:213
2025-06-11 15:25:36 - Face detected at X:270, Y:144, W:205, H:205
2025-06-11 15:25:36 - Face detected at X:269, Y:144, W:203, H:203
2025-06-11 15:25:36 - Face detected at X:267, Y:142, W:208, H:208
2025-06-11 15:25:36 - Face detected at X:269, Y:144, W:205, H:205
2025-06-11 15:25:36 - Face detected at X:269, Y:144, W:204, H:204
2025-06-11 15:25:36 - Face detected at X:268, Y:142, W:208, H:208
2025-06-11 15:25:36 - Face detected at X:269, Y:144, W:207, H:207
2025-06-11 15:25:36 - Face detected at X:267, Y:142, W:209, H:209
2025-06-11 15:25:36 - Face detected at X:267, Y:142, W:209, H:209
2025-06-11 15:25:36 - Face detected at X:266, Y:143, W:209, H:209
2025-06-11 15:25:36 - Face detected at X:270, Y:144, W:205, H:205
2025-06-11 15:25:36 - Face detected at X:270, Y:144, W:203, H:203
2025-06-11 15:25:36 - Face detected at X:267, Y:142, W:208, H:208
2025-06-11 15:25:36 - Face detected at X:265, Y:140, W:210, H:210
2025-06-11 15:25:37 - Face detected at X:264, Y:141, W:210, H:210
2025-06-11 15:25:37 - Face detected at X:268, Y:143, W:207, H:207
2025-06-11 15:25:37 - Face detected at X:264, Y:139, W:215, H:215
2025-06-11 15:25:37 - Face detected at X:266, Y:141, W:210, H:210
2025-06-11 15:25:37 - Face detected at X:264, Y:141, W:212, H:212
2025-06-11 15:25:37 - Face detected at X:265, Y:142, W:210, H:210
2025-06-11 15:25:37 - Face detected at X:266, Y:141, W:210, H:210
2025-06-11 15:25:37 - Face detected at X:266, Y:142, W:210, H:210
2025-06-11 15:25:37 - Face detected at X:265, Y:142, W:209, H:209
2025-06-11 15:25:37 - Face detected at X:266, Y:142, W:206, H:206
2025-06-11 15:25:37 - Face detected at X:266, Y:142, W:206, H:206
2025-06-11 15:25:37 - Face detected at X:266, Y:143, W:205, H:205
2025-06-11 15:25:37 - Face detected at X:265, Y:143, W:208, H:208
2025-06-11 15:25:37 - Face detected at X:264, Y:141, W:208, H:208
2025-06-11 15:25:37 - Face detected at X:264, Y:143, W:208, H:208
2025-06-11 15:25:37 - Face detected at X:264, Y:142, W:208, H:208
2025-06-11 15:25:37 - Face detected at X:263, Y:142, W:208, H:208
2025-06-11 15:25:37 - Face detected at X:263, Y:142, W:208, H:208
2025-06-11 15:25:37 - Face detected at X:265, Y:145, W:202, H:202
2025-06-11 15:25:38 - Face detected at X:264, Y:144, W:204, H:204
2025-06-11 15:25:38 - Face detected at X:266, Y:145, W:201, H:201
2025-06-11 15:25:38 - Face detected at X:266, Y:146, W:200, H:200
2025-06-11 15:25:38 - Face detected at X:266, Y:146, W:200, H:200
2025-06-11 15:25:38 - Face detected at X:267, Y:145, W:200, H:200
2025-06-11 15:25:38 - Face detected at X:268, Y:146, W:199, H:199
2025-06-11 15:25:38 - Face detected at X:268, Y:146, W:199, H:199
2025-06-11 15:25:38 - Face detected at X:266, Y:146, W:201, H:201
2025-06-11 15:25:38 - Face detected at X:268, Y:147, W:198, H:198
2025-06-11 15:25:38 - Face detected at X:265, Y:146, W:202, H:202
2025-06-11 15:25:38 - Face detected at X:264, Y:146, W:203, H:203
2025-06-11 15:25:38 - Face detected at X:265, Y:145, W:204, H:204
2025-06-11 15:25:38 - Face detected at X:265, Y:144, W:203, H:203
2025-06-11 15:25:38 - Face detected at X:265, Y:145, W:203, H:203
